metric,Block_Id,Terr_Id,report_dt,val
universalis,Лямбда,F-850,10/31/2018,155538.4466
universalis,Дзета,E-984,3/31/2014,155818.6681
universalis,Эта,D-751,2/28/2015,155972.5324
universalis,Тета,B-935,7/31/2017,156357.3696
universalis,Лямбда,A-969,4/30/2017,157146.4709
universalis,Тета,F-943,10/31/2017,157197.0175
universalis,Эта,D-751,8/31/2014,157260.7739
universalis,Тета,A-876,12/31/2015,157370.6077
universalis,Тета,B-935,11/30/2017,157492.2093
universalis,Эта,A-870,8/31/2016,158546.6393
universalis,Тета,B-935,10/31/2017,159297.6475
universalis,Тета,F-943,1/31/2018,159368.4754
universalis,Тета,F-943,7/31/2017,159509.5054
universalis,Бета,C-691,7/31/2014,159613.4341
universalis,Тета,F-943,11/30/2017,160140.962
universalis,Тета,B-935,8/31/2017,160897.9264
universalis,Эта,A-870,2/28/2017,161259.4768
universalis,Эпсилон,F-751,5/31/2014,161861.4664
universalis,Тета,E-938,3/31/2016,161959.9351
universalis,Лямбда,A-969,3/31/2017,161964.3791
universalis,Эта,A-870,7/31/2016,162013.7906
universalis,Дзета,B-636,2/28/2015,162044.2013
universalis,Бета,C-691,8/31/2014,162170.9544
universalis,Эта,D-751,1/31/2015,162178.4443
universalis,Тета,C-678,4/30/2017,162893.9435
universalis,Тета,A-917,12/31/2015,164038.3884
universalis,Тета,E-938,4/30/2016,164041.5396
universalis,Тета,A-917,4/30/2016,165136.6051
universalis,Тета,C-678,12/31/2016,167488.1317
universalis,Лямбда,A-969,6/30/2017,167709.8771
universalis,Тета,C-678,1/31/2017,167808.5549
universalis,Тета,F-943,8/31/2017,168661.7764
universalis,Тета,A-876,9/30/2016,168920.3566
universalis,Тета,C-678,5/31/2017,169437.3337
universalis,Лямбда,A-969,5/31/2017,170228.3837
universalis,Лямбда,F-850,3/31/2018,170284.7401
universalis,Бета,C-691,9/30/2014,170349.6629
universalis,Тета,E-938,12/31/2015,171012.3636
universalis,Тета,B-935,4/30/2018,171331.8089
universalis,Эпсилон,F-751,6/30/2014,171400.7343
universalis,Лямбда,F-850,12/31/2017,171739.0509
universalis,Бета,C-691,6/30/2014,172036.9135
universalis,Тета,A-876,7/31/2016,172173.0805
